Marca temporal,¿Has tenido alguna empresa que ha fracasado?,Edad:,¿Con qué género te identificas más?,Nivel educativo: ,¿Cuántos años de experiencia laboral tienes?,¿Cuántas empresas has tenido? ,¿Cuántas de ellas siguen activas?,¿Qué tipo de empresa era?,¿Cuántos empleados tuvo? ,¿Cuántos años estuvo activa?,¿En qué estado(s) de la república tenía sus operaciones? ,¿Contaba con operaciones a nivel nacional o internacional?, ¿La empresa tenía un único dueño o varios socios? ,¿Cuál era el ingreso anual promedio de la empresa? (millones de pesos),¿Cómo calificarías los servicios de electricidad que te fueron proporcionados?,¿Sufriste algún tipo de pérdidas debido a la falta de este servicio? ¿Cuáles?,¿Consideras que el sector informal tuvo impacto en el cierre de tu negocio?, ¿Por qué?,¿Los niveles de inseguridad afectaron al desempeño de tu empresa? ,¿Cómo es que afectó a tu empresa?,¿Intentaste exportar o importar algún producto?, ¿Qué dificultades encontraste?,¿Cómo calificarías los trámites administrativos que la ley te pedía mes con mes?,¿Tuviste que contratar algún tipo de asesoría o apoyo para cumplir con todos los trámites anteriores?,¿Qué costo representó para ti mensualmente cumplir con esos trámites?,¿Cómo calificarías la tasa de impuestos que fueron asignados a tu empresa?,¿Tuviste que recurrir a algún tipo de práctica para pagar menos impuestos?,¿Podrías enlistar algunas de ellas?,¿Cuáles fueron los tres trámites más complicados durante la vida de tu empresa?,¿Te pidieron sobornos o realizar algún acto de corrupción durante tus trámites gubernamentales?,¿Aceptaste?,¿Cómo calificarías el proceso de cierre de tu empresa en términos administrativos?,¿Por qué?,¿Qué trámite consideras el más costoso en tiempo y dinero para el cierre de tu empresa?,¿Concluiste con todos los trámites?,¿Qué trámite o procedimiento no has concluido? ¿Por qué?,Indica los programas de gobierno de apoyo a PYMEs que conozcas,¿Cómo te enteraste de estos programas?,¿Has leído alguna de las convocatorias a dichos programas?,¿Consideras que estas convocatorias son accesibles para cualquier empresario?,¿Por qué?,¿Has hecho uso de alguno de estos programas?,¿Cuál programa utilizaste?,¿Cómo calificarías tu experiencia?,¿Tuviste un monitoreo constante por parte de las entidades gubernamentales?  ,¿Consideras que fue efectivo dicho seguimiento?,¿Consideras que los entregables y evidencias presentadas fueron una buena metodología de evaluación?,"Una vez terminado el programa, ¿se te dio algún tipo de seguimiento en los meses/años posteriores?",¿Qué relevancia tuvo este apoyo del gobierno en la muerte de tu empresa? ,¿Recibiste algún tipo de asesoría para participar en las convocatorias de alguno de los programas de gobierno?,¿En qué consistía este tipo de asesoría? ¿Podrías proporcionarnos un costo aproximado?,¿Consideras claro y transparente el proceso de selección de los distintos programas?,¿Fuiste testigo de prácticas corruptas en en el proceso?,¿Consideras que existe algún tipo de favoritismo en la selección de candidatos?,¿Por qué?,¿Encontraste que la oferta de programas del gobierno respondía a las necesidades de tu empresa?,¿Por qué?,¿Qué tipo de apoyo por parte del gobierno consideras que hizo falta para que tu empresa no fracasara?,¿En algún momento fuiste invitado por parte del gobierno a participar en alguna asociación empresarial o clúster?,En el caso de que hayas participado ¿fue de utilidad para tu empresa?,¿Por qué?
7/19/2016 18:52:27,Sí,37,Masculino,Maestría,14,6,1,Industrial,12,3,Sinaloa,Nacional,Varios socios,cero a medio millón,4,Económicas. Al no haber la corriente eléctrica adecuada no pude hacer adecuaciones a la maquinaria debido a que los motores que eran necesarios no contaban con energía trifásica. ,No,,No,,No,,4,Sí,25% de mis costos,4,Sí,Planeación fiscal,Alta patronal; permiso de uso de suelo; permiso de protección civil,Sí,Sí,5,"Dar de baja una empresa, una sociedad constituida es muy complicado y caro. ",Liquidar la sociedad. Sigo con la empresa declarándola en ceros. Me es más barato. ,No,"La liquidación ante hacienda. Es caro el liquidador y es mucha complicación. Si cerré la empresa porque no tenía dinero, es ilógico tener que pagar por también cerrarla. ","INADEM
PEI del Conacyt",Investigando en internet y en cursos que dieron en el estado. ,Sí,No,Muy complicadas y llenas de tecnicismos. Mucha paja. ,Sí,FONAES,3,No,No,No,No,2,No,,No,No,Sí,Casualmente los fondos más grandes llegan a empresas que no lo necesitan.  Las empresas más grandes son las que se llevan los apoyos al competir contra empresas pequeñas. ,No,En ese momento no había mucha información al respecto ,El apoyo tardó mucho en llegar. Velocidad en la ministración del recurso. ,Sí,Sí,
7/20/2016 22:32:16,Sí,50,Masculino,Preparatoria,22,2,0,Servicios,3,1,Baja California Norte,Nacional,Único dueño,cero a medio millón,4,No,SÍ,El precio que ofrecen menor al de pagar impuestos,No,,No,,5,No,,5,No,,Trámites burocráticos,No,No,5,Trámites correspondientes complicado,Darlo de baja,Sí,,Ayuda al pequeño empresario,Televisión y radio,Sí,No,Ocupas mucha asesoría y cuesta,Apliqué pero no fui seleccionado,,,,,,,,,,No,No,Sí,Otros negocios no eran claros,Sí,Se veía favorable los productos,Préstamos para mejorar los servicios los equipos para brindar lo ofertado,No,No aplica,No tuve tiempo de inscribirse ya que la situación dé la empresa no lo permitia
7/20/2016 23:14:55,Sí,46,Femenino,Licenciatura,26,1,0,Comercio,1,1,Chihuahua,Nacional,Único dueño,cero a medio millón,2,Datos,SÍ,Por parte del gobierno sacaron la modalidad gratuita de facturación electrónica ,No,,No,,5,Sí,1000,5,No,,Registro ante Hacienda ,No,No,5,Se hizo lo que se pudo y más por mantener el negocio activo,Pago a contador ,Sí,Ante hacenda,Al día de hoy me encuentro desconectada ,Por gobierno del estado solía enterarme,Sí,No,Son muchos los requisitos para poder contar con un apoyo ,Apliqué pero no fui seleccionado,,,,,,,,,,No,No,Sí,Somos muchos las personas interesadas en salir beneficiado con este tipo de herramientas pero muy pocos logran oportunidad ,No,No hay un abanico de opciones ,Para mí  fue sabotaje el hecho de que sacaran folios y facturas fusca je gratuitas por parte de gobierno ,No,No aplica,
7/21/2016 10:22:26,Sí,40,Masculino,Preparatoria,20,1,0,Comercio,5,2,Ciudad de México,Nacional,Único dueño,cero a medio millón,5,Es muy caro para comercio local,SÍ,Pues se colocan donde quiera con los mismos productos y es más barato,Sí,"Tienes que tener mayor seguridad, cámaras, personal y todo se convierte en gastos",No,,5,Sí,3500,5,No,,El crédito que otorga el gobierno federal solo es para amigos como constructoras y empresas fantasmas,Sí,Sí,5,Hasta para cerrar todo es dinero y dinero y los locales son muy caros,El dueño del local que quiere reluciente siendo que no estaba así me costo 20 mil pesos,Sí,,,No difunden nada solo hacen como que difunden pero ya todo lo tienen apalabrado,Sí,No,Tomas curso pero no están pensados para iniciar de cero. ,No,,,,,,,,,,No,Sí,Sí,Solo son para amigos del gobierno o de los mismos burocratas,No,Son limitados los recursos y hay que ajustar todo para que según ellos apruebes uno de 30 requisitos tontos.,,No,No,No he sido invitado  a nada
7/21/2016 11:34:40,Sí,28,Masculino,Licenciatura,6,2,1,Comercio,2,1,Tlaxcala,Nacional,Único dueño,cero a medio millón,3,Se echaron a perder algunos medicamentos.,SÍ,"Porque venden más ""barato"" no pagan impuestos, no tienen a sus empleados registrados y se ""ahorran"" pagos como IMSS  y cosas así.",No,,No,,5,Sí,110,3,Sí,No presentar todos los ingresos.,"Darse de alta en IMSS es un relajo y prácticamente pierdes todo el día, terminas fastidiado. Permisos de la Cofreprist, ",No,No,4,"Porque todo lo hacen tedioso, pretextos para todo, burocracia pura.","El del SAT, en Tlaxcala todas las oficinas están de extremo a extremo.",Sí,,Crédito Jóven.,Internet,No,No,"Porque piden requisitos de empresas que ya están muy consolidadas, las Mipymes muchas veces no cuentan con todo eso.",No,,,,,,,,,,No,Sí,Sí,"Al menos en  Tlaxcala, se ven beneficiados los jóvenes que apoyan a cierto partido político, y todos esos programas y premios ya están negociados.",Sí,"Hay buenos programas, como el de capacitar tu empresa con tecnología, pero los requisitos son muy pesados y a aveces pasan más de 1 año en recibir los recursos.","Yo creo que la capacitación y hacer cómo más entendibles los trámites, hay tantas oficinas de gobierno que creo que algunas sólo son un estorbo.",No,No aplica,
7/21/2016 11:46:29,Sí,42,Masculino,Doctorado,18,9,4,Servicios,5,2,Ciudad de México,Nacional,Único dueño,un millón a tres millones,3,No,No,,No,,No,,4,No,,5,Sí,Facturas ,IMSS Y EL IMPI,Sí,No,4,Es caro,Notario ,Sí,,Fondo Emprendedor,Por el ecosistema,Sí,No,Muy complicadas,Apliqué pero no fui seleccionado,,,,,,,,,,No,Sí,Sí,Tráfico de Influencias,Sí,Por Inversion. ,Son corruptos ,No,No aplica,
7/21/2016 12:26:17,Sí,26,Masculino,Maestría,5,1,0,Comercio,4,5,Tabasco,Nacional,Único dueño,medio a un millón,2,"Si, merma de productos y falta de venta",SÍ,Ya que eran mi competencia y ellos tienen menos costos.,Sí,"La gente no iba tanto a la plaza donde estaba ubicado el
Negocio por la inseguridad.",No,,1,Sí,2500,5,No,,"Darme de alta en el imss, en el sat y anuencia de funcionamiento",No,No,1,Pude hacer todo por internet.,El contrato con la plaza donde estaba el negocio,Sí,,,N/a,No,No,N/a,No,,,,,,,,,,No,No,No,N/a,No,N/a,Apoyos a pymes en epoca de crisis.,No,No aplica,
7/21/2016 13:35:33,Sí,58,Femenino,Licenciatura,30,4,1,Comercio,20,15,Ciudad de México,Nacional,Varios socios,tres millones o más,3,no,SÍ,Contrabando,No,,Sí,Corrupcion,5,Sí,,4,Sí,estrategia fiscal y laboral,"importación, imss, uso de suelo",Sí,Sí,4,tramites burocráticos,la parte contable,Sí,,INADEM Convocatorioas,Medios,Sí,No,Terminos de operación y requisitos,Apliqué pero no fui seleccionado,,,,,,,,,,No,Sí,Sí,las convocatorias estan perfiladas,Sí,Equipamiento y capacitación,Equipamiento y capacitacion,No,No aplica,
7/21/2016 16:27:01,Sí,46,Otro,Doctorado,23,12,8,"Todas de software, excepto una de calcomanías",4,1-1-2--1 años,Ciudad de México,Internacional,Varios socios,cero a medio millón,1,No,No,,No,,Sí,Costo de trasnporte,5,Sí,20%,5,Sí,"Compra de facturas, autoventa",Salarios,Sí,No,4,Acuerdos con socios.,banco y créditos,Sí,,"INADEM, PEI-Conacyt",Internet ,Sí,No,Difícil entender la naturaleza y procedimientos,Sí,INADEM,3,Sí,No,No,No,3,No,30000,No,No,No,NO,No,"Las empresas requieren apoyos en múltiples sectores, desde apoyos al personal, hasta la planeación financiera, incluyendo infraestructura, rentas, deudas previas, becas para los hijos de los empleados. Debiera darse BOLSAS de dinero como Rico Macpato y así dejar que los empresarios asuman el riesgo de como se gaste el dinero. Poder usar dinero para solo ciertos rubros es completamente artificial e ineficiente. Una empresa que arranca no solo debe empezar sobre las rodillas. Cuando uno empieza a ir a la escuela primaria usa zapatos, gasolina para que te lleven o boletos del metro y comer todos los días igual que cuando uno va a la universidad. Pensar que instrumentar un proyecto o empresa de innovación que NO requiera tal o cual rubro la condenará a ser una empresa mocha desde el principio.",,Sí,Sí,
7/21/2016 16:58:13,Sí,25,Masculino,Preparatoria,7,1,1,Desarrollo de Videojuegos,30,2,Ciudad de México,Internacional,Varios socios,cero a medio millón,1,Ninguna,No,,No,,No,,3,Sí,1160,1,No,,"Sacar el RFC, el acta constitutiva y el social security number necesario para vender y pagar impuestos en Estados Unidos",No,No,1,Nunca la cerre formalmente. Aun la uso para facturar cosas freelance que hago.,"Ninguno, aun. ",No,El cierre de mi empresa,Se que existen varios pero no podria señalar puntualmente alguno,Redes sociales y amigos,Sí,No,"Personalmente yo nunca pude acceder a ellas. Tambien apoyan con un porcentaje del total, hacen falta mas fondos perdidos para poder apoyar a quienes van iniciando. ",No,,,,,,,,,,No,Sí,Sí,"Alguna vez conoci a un pariente del director del Conacyt que me aseguraba lograria que seleccionaran mi proyecto si le daba una lana cuando recibiera el dinero de Conacyt, no acepte. ",No,"Los apoyos que existen para empresas creativas son nulos. Nisiquiera pude constituirme como una empresa de desarrollo de videojuegos por que no existe ese rubro, oficialmente mi empresa es de ""Proyeccion y produccion de medios audiovisuales""","Algun apoyo para la industria del videojuego, el concurso de desarrollo que hizo el gobierno daba de gran premio 50,000 MXN, ni para un mes de sueldo de un buen ingeniero. ",Sí,No,"Todos las mesas de trabajo o clusters a los que fui invitado claramente se hacian para que el gobierno pudiera decir ""Mira, lo estoy haciendo"" nunca se dio seguimiento y claramente no tenian intencion de hacer nada fuera de reunirnos para decir que nos reunieron. "
